strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,genbank_accession,host,mutational_fitness,pango_lineage,recency,region,url,author,accession,originating_lab,submitting_lab,logistic_growth
Iceland/679/2020,3/27/2020,,19A,Iceland,,Iceland,,202013,OU182802,Homo sapiens,0.22,B.3,Older,Europe,,Jonsson et al A,,The National University Hospital of Iceland,DECODE GENETICS,
DEU/NRW-02.1/2020,2/25/2020,,19A,Germany,,North Rhine Westphalia,,202009,MT582498,Homo sapiens,0.23,B.3,Older,Europe,,Houwaart et al A,,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Dusseldorf",Heinrich Heine University,
HongKong/HKPU-00041/2020,4/4/2020,,19A,Hong Kong,,Hong Kong,,202014,MZ266390,Homo sapiens,0.23,B.3,Older,Asia,,Siu et al B,,,,
NPL/61-TW/2020,1/13/2020,,19A,Nepal,,Nepal,,202003,MT072688,Homo sapiens,,B,Older,Asia,,Bastola et al,,,,
AUS/NT02/2020,2/21/2020,,19A,Australia,,Northern Territory,,202008,MT641646,Homo sapiens,0.09,B,Older,Oceania,,Caly et al E,,Royal Darwin Hospital,The Peter Doherty Institute for Infection and Immunity,
AUS/NT01/2020,2/21/2020,,19A,Australia,,Northern Territory,,202008,MT641645,Homo sapiens,0.09,B,Older,Oceania,,Caly et al F,,Royal Darwin Hospital,The Peter Doherty Institute for Infection and Immunity,
Japan/DP0568/2020,2/17/2020,,19A,Japan,,Japan,,202008,LC571008,Homo sapiens,0.09,B,Older,Asia,,Sekizuka et al A,,,,
Japan/DP0286/2020,2/16/2020,,19A,Japan,,Japan,,202008,LC570986,Homo sapiens,0.1,B.5,Older,Asia,,Sekizuka et al B,,,,
ITA/INMI1/2020,1/30/2020,,19A,Italy,,Italy,,202005,MT066156,Homo sapiens,0.31,B,Older,Europe,,Capobianchi et al,,,,
Iceland/13/2020,2/27/2020,1,19A,Iceland,,Iceland,,202009,OU161584,Homo sapiens,0.35,B,Older,Europe,,Jonsson et al B,,The National University Hospital of Iceland,DECODE GENETICS,
GEO/MM202054/2020,2/27/2020,,19A,Georgia,,Georgia (Asia),,202009,MT231246,Homo sapiens,0.31,B,Older,Asia,,Kotorashvili et al B,,,,
GEO/MM2020468/2020,3/10/2020,,19A,Georgia,,Georgia (Asia),,202011,MT231249,Homo sapiens,0.33,B,Older,Asia,,Kotorashvili et al C,,,,
NZL/20CV0306/2020,3/30/2020,,19A,New Zealand,,Whanganui,,202014,OK426616,Homo sapiens,0.27,B.6,One month ago,Oceania,,Ren et al D,,Canterbury Health Laboratories,Institute of Environmental Science and Research,
TWN/CGMH-CGU-27/2020,4/19/2020,,19A,Taiwan,,Taiwan,,202017,MT517437,Homo sapiens,0.26,B.6,Older,Asia,,Tsao et al C,,,,
LC594644,3/19/2020,,19A,Japan,,Japan,,202012,LC594644,Homo sapiens,0.26,B.6,Older,Asia,,Ko et al A,,,,
PHL/GS/2020,4/3/2020,,19A,Philippines,,Manila,,202014,MT919768,Homo sapiens,0.26,B.6,Older,Asia,,Velasco et al A,,,,
IND/GMCKN443/2020,3/16/2020,,19A,India,,India,,202012,MT415322,Homo sapiens,0.26,B.6,Older,Asia,,Kammili et al A,,,,
GMB/GC19-026/2020,3/21/2020,,19A,Gambia,,Gambia,,202012,MZ040129,Homo sapiens,0.26,B.6,Older,Africa,,Kanteh et al A,,,,
AUS/VIC767/2020,3/20/2020,,19A,Australia,,Victoria,,202012,MT451534,Homo sapiens,0.26,B.6,Older,Oceania,,Seemann et al C,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
MYS/IIUM316/2020,4/9/2020,1,19A,Malaysia,,Pahang,,202015,MW079429,Homo sapiens,0.26,B.6,Older,Asia,,Ahmad et al A,,,,
MYS/NC793/2020,3/23/2020,,19A,Malaysia,,Malaysia,,202013,OK594605,Homo sapiens,0.26,B.6,3-7 days ago,Asia,,Chan et al A,,,,
MYS/NC383/2020,3/19/2020,,19A,Malaysia,,Malaysia,,202012,OK594603,Homo sapiens,0.26,B.6,3-7 days ago,Asia,,Chan et al B,,,,
TLS/TL17/2020,4/12/2020,,19A,Timor-Leste,,Timor-Leste,,202016,MT612288,Homo sapiens,0.26,B.6,Older,Asia,,Caly et al G,,"National Health Laboratory, Timor-Leste",The Peter Doherty Institute for Infection and Immunity,
TLS/TL15/2020,4/12/2020,,19A,Timor-Leste,,Timor-Leste,,202016,MT641770,Homo sapiens,0.26,B.6,Older,Asia,,Caly et al H,,"National Health Laboratory, Timor-Leste",The Peter Doherty Institute for Infection and Immunity,
KOR/KCDC05/2020,1/30/2020,,19B,South Korea,,South Korea,,202005,MT126746,Homo sapiens,0.23,A,Older,Asia,,Kim et al A,,,,
CHN/WHUHnCoV020/2020,1/22/2020,,19B,China,,China,,202004,MT079853,Homo sapiens,0.23,B,Older,Asia,,Wang et al A,,,,
IND/166/2020,1/31/2020,,19B,India,,Kerala,,202005,MT050493,Homo sapiens,0.23,B,Older,Asia,,Potdar et al,,,,
GBR/SARS-CoV-2Engl2/2020,1/29/2020,,19B,United Kingdom,,United Kingdom,,202005,OK041134,Homo sapiens,0.24,B,Older,Europe,,Szemiel et al,,MRC-University of Glasgow Centre for Virus Research,MRC-University of Glasgow Centre for Virus Research,
USA/AZ-CDC-AZ1/2020,1/22/2020,,19B,USA,,Arizona,,202004,MN997409,Homo sapiens,0.32,A,Older,North America,,Tao et al B,,,,
KOR/KCDC24/2020,2/6/2020,,19B,South Korea,,South Korea,,202006,MT134010,Homo sapiens,0.33,A,Older,Asia,,Kim et al B,,,,
USA/GA-EHC-273O/2020,5/13/2020,,19B,USA,,Georgia,,202020,MZ313068,Homo sapiens,0.27,A.3,Older,North America,,Piantadosi et al A,,,,
HongKong/HKPU-00025/2020,1/23/2020,,19B,Hong Kong,,Hong Kong,,202004,MZ266374,Homo sapiens,0.24,A,Older,Asia,,Siu et al C,,,,
HongKong/Ca-DelMut/2020,6/1/2020,3,19B,Hong Kong,,Hong Kong,,202023,MT862537,Homo sapiens,0.35,A,Older,Asia,,Wang et al B,,,,
THA/SI202872-NT/2020,2/25/2020,,19B,Thailand,,Thailand,,202009,MT447165,Homo sapiens,0.26,A.6,Older,Asia,,Rodpan et al C,,,,
KHM/Kunming_kms-2/2020,3/21/2020,,19B,Cambodia,,Phnom Penh,,202012,MW341443,Homo sapiens,0.26,A.6,Older,Asia,,Li et al B,,,,
THA/SI203285-NT/2020,1/23/2020,,19B,Thailand,,Thailand,,202004,MT447166,Homo sapiens,0.26,A.6,Older,Asia,,Rodpan et al D,,,,
THA/SI204514-NT/2020,3/12/2020,,19B,Thailand,,Thailand,,202011,MT447169,Homo sapiens,0.26,A.6,Older,Asia,,Rodpan et al E,,,,
VEN/1Z/2020,3/16/2020,1,19B,Venezuela,,Venezuela,,202012,MT907515,Homo sapiens,0.26,A.2,Older,South America,,Loureiro et al A,,,,
CHL/2020-26639/2020,3/17/2020,1,19B,Chile,,Chile,,202012,MT670018,Homo sapiens,0.27,A.2,Older,South America,,Gaete et al,,,,
CHL/Santiago-PUC_MVL_0016/2020,3/19/2020,1,19B,Chile,,Chile,,202012,MW365195,Homo sapiens,0.27,A.2,Older,South America,,Direct Submission et al A,,,,
NZL/20CV0287/2020,3/26/2020,,19B,New Zealand,,Taranaki,,202013,OK426972,Homo sapiens,0.27,A.2,One month ago,Oceania,,Ren et al E,,Canterbury Health Laboratories,Institute of Environmental Science and Research,
PER/covper069/2020,3/18/2020,,19B,Peru,,Peru,,202012,MW030209,Homo sapiens,0.27,A.2,Older,South America,,Juscamayta et al A,,,,
LR884133,4/16/2020,1,19B,Spain,,Spain,,202016,LR884133,Homo sapiens,0.26,A.2,Older,Europe,,Viedma et al A,,Hospital Universitario Ramon y Cajal,HOSPITAL UNIVERSITARY 12 DE OCTUBRE,
KAZ/NCB-5/2020,3/20/2020,,19B,Kazakhstan,,Kazakhstan,,202012,MT428554,Homo sapiens,0.27,A.2,Older,Asia,,Shevtsov et al A,,,,
AUS/TAS94/2020,3/23/2020,,19B,Australia,,Tasmania,,202013,MT973423,Homo sapiens,0.34,A.2.2,Older,Oceania,,Sait et al B,,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
NZL/20CV0300/2020,3/28/2020,,19B,New Zealand,,Hawkes Bay,,202013,OK426928,Homo sapiens,0.34,A.2.2,One month ago,Oceania,,Ren et al F,,Canterbury Health Laboratories,Institute of Environmental Science and Research,
AUS/TAS259/2020,5/6/2020,,19B,Australia,,Tasmania,,202019,MT973325,Homo sapiens,0.37,A.2.2,Older,Oceania,,Sait et al C,,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
AUS/TAS89/2020,4/5/2020,,19B,Australia,,Tasmania,,202015,MT973419,Homo sapiens,0.38,A.2.2,Older,Oceania,,Sait et al D,,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
AUS/TAS166/2020,5/1/2020,,19B,Australia,,Tasmania,,202018,MT973473,Homo sapiens,0.38,A.2.2,Older,Oceania,,Sait et al E,,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
AUS/TAS164/2020,4/27/2020,,19B,Australia,,Tasmania,,202018,MT973471,Homo sapiens,0.38,A.2.2,Older,Oceania,,Sait et al F,,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
KOR/CNUHV03-CA22/2020,5/20/2020,2,19B,South Korea,,South Korea,,202021,MT810119,Homo sapiens,0.25,A,Older,Asia,,Seo et al,,,,
KOR/KCDC03/2020,1/25/2020,,19B,South Korea,,South Korea,,202004,MT020782,Homo sapiens,0.23,A,Older,Asia,,Kim et al C,,,,
KOR/KCDC03-NCCP43326/2020,2/6/2020,,19B,South Korea,,South Korea,,202006,MW466791,Homo sapiens,0.23,A,Older,Asia,,Kim et al D,,,,
KOR/KCDC06-NCCP43328/2020,3/17/2020,,19B,South Korea,,South Korea,,202012,MW466793,Homo sapiens,0.23,A,Older,Asia,,Kim et al E,,,,
KOR/KCDC07-NCCP43329/2020,3/17/2020,,19B,South Korea,,South Korea,,202012,MW466794,Homo sapiens,0.23,A,Older,Asia,,Kim et al F,,,,
AUS/VIC13/2020,1/31/2020,,19B,Australia,,Victoria,,202005,MT450930,Homo sapiens,0.23,B,Older,Oceania,,Seemann et al D,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
BEL/GHB-03021/2020,2/3/2020,2,19B,Belgium,,Belgium,,202006,MW368439,Homo sapiens,0.29,A,Older,Europe,,Baggen et al,,,,
COL/79256_Antioquia/2020,3/11/2020,,19B,Colombia,,Antioquia,,202011,MT256924,Homo sapiens,0.23,A.5,Older,South America,,Mercado-Reyes et al,,,,
URY/Mdeo-1/2020,3/13/2020,,19B,Uruguay,,Uruguay,,202011,MT466071,Homo sapiens,0.23,A.5,Older,South America,,Panzera et al A,,,,
USA/TX-DSHS-0174/2020,3/11/2020,,19B,USA,,Texas,,202011,MW093495,Homo sapiens,0.22,A.1,Older,North America,,Tuladhar et al,,Texas Department of State Health Services,Texas Department of State Health Services-SARS-CoV-2 submission group,
USA/WA-S105/2020,2/28/2020,,19B,USA,,Washington,,202009,MT627252,Homo sapiens,0.22,A.1,Older,North America,,Nickerson et al A,,Washington State Department of Health,Seattle Flu Study submission group,
NZL/20VR2014/2020,4/1/2020,,19B,New Zealand,,Wellington,,202014,OK426566,Homo sapiens,0.31,A.1,One month ago,Oceania,,Ren et al G,,Wellington SCL (WN),Institute of Environmental Science and Research,
USA/NV-QDX-2652/2020,3/15/2020,,19B,USA,,Nevada,,202012,MW191388,Homo sapiens,0.22,A.1,Older,North America,,Rosenthal et al A,,Quest Diagnostics,Quest Diagnostics,
LR884173,3/3/2020,,19B,Spain,,Spain,,202010,LR884173,Homo sapiens,0.24,A,Older,Europe,,Viedma et al B,,Hospital Universitario Ramon y Cajal,HOSPITAL UNIVERSITARY 12 DE OCTUBRE,
AUS/VIC07/2020,2/8/2020,,19B,Australia,,Victoria,,202006,MT450924,Homo sapiens,0.29,A,Older,Oceania,,Seemann et al E,,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
MLI/UCRC31/2020,3/31/2020,,19B,Mali,,Mali,,202014,MW474741,Homo sapiens,0.32,A,Older,Africa,,Diarra et al A,,,,
HG994519,2/22/2021,3,19B,France,,Hauts de France,,202108,HG994519,Homo sapiens,0.57,A.28,Older,Europe,,Derhourhi et al,,"Synlab, Haut-de-France",UMR 1283/8199,
SLE/KGH-G-8626/2020,4/10/2020,,19B,Sierra Leone,,Sierra Leone,,202015,MT872492,Homo sapiens,0.29,A.12,Older,Africa,,Goba et al A,,Kenema Government Hospital,Kenema Government Hospital,
SLE/KGH-G-8669/2020,4/14/2020,,19B,Sierra Leone,,Western Area,,202016,MT872498,Homo sapiens,0.3,A.12,Older,Africa,,Goba et al B,,Kenema Government Hospital,Kenema Government Hospital,
PAK/AKUs10/2020,3/20/2020,,19B,Pakistan,,Pakistan,,202012,MT730116,Homo sapiens,0.29,A,Older,Asia,,Ghanchi et al A,,,,
BEN/1950/2020,4/15/2020,,19B,Benin,,Benin,,202016,MT653079,Homo sapiens,0.29,A,Older,Africa,,Sander et al A,,,,
GHA/84162_S45/2020,4/25/2020,,19B,Ghana,,Ghana,,202017,MT890242,Homo sapiens,0.29,A,Older,Africa,,Ngoi et al A,,,,
ITA/PA-IZSBM169-66_2020/2020,6/29/2020,,19B,Italy,,Sicily,,202027,MW340790,Homo sapiens,0.28,A,Older,Europe,,Tramuto et al,,,,
USA/CA-CDC-CA7/2020,2/6/2020,,19B,USA,,California,,202006,MT106052,Homo sapiens,0.29,A,Older,North America,,Queen et al A,,,,
NZL/20VR3131/2020,6/16/2020,,19B,New Zealand,,New Zealand,,202025,OK433260,Homo sapiens,0.29,A.11,One month ago,Oceania,,Ren et al H,,Wellington SCL (WN),Institute of Environmental Science and Research,
AUS/QLD02/2020,7/20/2020,,19B,Australia,,Australia,,202030,MW772455,Homo sapiens,0.29,A,Older,Oceania,,Parry et al A,,,,
BEN/843/2020,3/19/2020,,19B,Benin,,Benin,,202012,MT653078,Homo sapiens,0.29,A,Older,Africa,,Sander et al B,,,,
LR963464,3/1/2020,,19B,Zimbabwe,,Zimbabwe,,202010,LR963464,Homo sapiens,0.33,A,Older,Africa,,Alikhan et al A,,National Microbiology Reference Laboratory,Quadram Institute Bioscience,
huamn/CHN/CD-27553/2021,3/16/2021,4,19B,China,,China,,202111,MZ664556,,0.31,A,Older,Asia,,Peng et al,,,,
BEN/461/2020,3/17/2020,,19B,Benin,,Benin,,202012,MT653081,Homo sapiens,0.35,A,Older,Africa,,Sander et al C,,,,
UZB/hCoV-19-Uzb-CGB-25/2020,12/7/2020,2,19B,Uzbekistan,,Tashkent,,202050,MW853569,Homo sapiens,0.39,A.24,Older,Asia,,Ayubov et al A,,,,
GHA/84218_S47/2020,5/25/2020,,19B,Ghana,,Ghana,,202022,MT890216,Homo sapiens,0.34,A,Older,Africa,,Ngoi et al B,,,,
KEN/C29517/2020,7/6/2020,,19B,Kenya,,Kenya,,202028,MW751355,Homo sapiens,0.34,A.25,Older,Africa,,Githinji et al A,,,,
KEN/K10221/2020,6/8/2020,2,19B,Kenya,,Kenya,,202024,OK449076,Homo sapiens,0.39,A,One month ago,Africa,,Githinji et al B,,,,
UGA/MAKCHScov6/2020,9/30/2020,3,19B,Uganda,,Uganda,,202040,MZ287350,Homo sapiens,0.47,A,Older,Africa,,Mwesigwa et al A,,,,
UGA/MAKCHScov5/2020,9/30/2020,3,19B,Uganda,,Uganda,,202040,MZ287363,Homo sapiens,0.47,A,Older,Africa,,Mwesigwa et al B,,,,
UGA/MAKCHScov2/2020,11/4/2020,4,19B,Uganda,,Uganda,,202045,MZ287347,Homo sapiens,0.54,A.23.1,Older,Africa,,Mwesigwa et al C,,,,
UGA/MAKCHScov20/2021,1/13/2021,4,19B,Uganda,,Uganda,,202102,MZ287355,Homo sapiens,0.54,A.23.1,Older,Africa,,Mwesigwa et al D,,,,
PAK/JRCGR-KHI18/2020,7/2/2020,,19A,Pakistan,,Karachi,,202027,MW447627,Homo sapiens,0.19,B.1.260,Older,Asia,,Shakeel et al A,,,,
RUS/SCPM-O-cDNA-04/2020,3/20/2020,1,20A,Russia,,Moscow Oblast,,202012,MT636895,Homo sapiens,0.3,B.1,Older,Europe,,Shemyakin et al,,,SRCAMB,
DEU/BavPat3-ChVir1020/2020,1/28/2020,1,20A,Germany,,Bavaria,,202005,MT270103,Homo sapiens,0.13,B.1,Older,Europe,,Boehmer et al,,,,
FRA/BavPat1/2020,4/20/2020,2,20A,France,,France,,202017,MT594401,Homo sapiens,0.13,B.1,Older,Europe,,Shannon et al,,,,
AUS/NT42/2020,5/1/2020,1,20A,Australia,,Northern Territory,,202018,MT641765,Homo sapiens,0.13,B,Older,Oceania,,Caly et al I,,Royal Darwin Hospital Pathology,The Peter Doherty Institute for Infection and Immunity,
