Author	n (strains)	publication title	journal	publication URL	strains
Sahukhan et al	17	unknown	unknown	unknown	hCoV-19/Fiji/FJ003/2020,hCoV-19/Fiji/FJ051/2020,hCoV-19/Fiji/FJ020/2020,hCoV-19/Fiji/FJ663/2020,hCoV-19/Fiji/FJ665/2021,hCoV-19/Fiji/FJ666/2021,hCoV-19/Fiji/FJ1177/2021,hCoV-19/Fiji/FJ1377/2021,hCoV-19/Fiji/FJ1179/2021,hCoV-19/Fiji/FJ599/2021,hCoV-19/Fiji/FJ588/2021,hCoV-19/Fiji/FJ1175/2021,hCoV-19/Fiji/FJ1092/2021,hCoV-19/Fiji/FJ1188/2021,hCoV-19/Fiji/FJ473/2021,hCoV-19/Fiji/FJ801/2021,hCoV-19/Fiji/FJ620/2021
Bas Oude Munnink et al	6	unknown	unknown	unknown	hCoV-19/Bahrain/BAH-20/2020,hCoV-19/Suriname/SR-27/2020,hCoV-19/Suriname/SR-05/2020,hCoV-19/Suriname/SR-52/2020,hCoV-19/Bahrain/BAH-23/2020,hCoV-19/Netherlands/LI-EMC-148/2020
Xiaoyun Ren et al	47	unknown	unknown	unknown	hCoV-19/NewZealand/20VR1774/2020,hCoV-19/NewZealand/20CV0306/2020,hCoV-19/NewZealand/20CV0303/2020,hCoV-19/NewZealand/20CV0277/2020,hCoV-19/NewZealand/20CV0488/2020,hCoV-19/NewZealand/20CV0116/2020,hCoV-19/NewZealand/20CV0217/2020,hCoV-19/NewZealand/20CV0608/2020,hCoV-19/NewZealand/20CV0614/2020,hCoV-19/NewZealand/20VR3802/2020,hCoV-19/NewZealand/20VR3804/2020,hCoV-19/NewZealand/20VR3119/2020,hCoV-19/NewZealand/20VR1930/2020,hCoV-19/NewZealand/20CV0496/2020,hCoV-19/NewZealand/20CV0499/2020,hCoV-19/NewZealand/21CV0068/2021,hCoV-19/NewZealand/21MV0017/2021,hCoV-19/NewZealand/20CV0318/2020,hCoV-19/NewZealand/20CV0637/2020,hCoV-19/NewZealand/20CV0380/2020,hCoV-19/NewZealand/20CV0221/2020,hCoV-19/NewZealand/20CV0223/2020,hCoV-19/NewZealand/20CV0426/2020,hCoV-19/NewZealand/21CV0093/2021,hCoV-19/NewZealand/21CV0098/2021,hCoV-19/NewZealand/20VR3096/2020,hCoV-19/NewZealand/20VR3112/2020,hCoV-19/NewZealand/20CV0278/2020,hCoV-19/NewZealand/20VR2586/2020,hCoV-19/NewZealand/20CV0596/2020,hCoV-19/NewZealand/20CV0401/2020,hCoV-19/NewZealand/20CV0410/2020,hCoV-19/NewZealand/20CV0558/2020,hCoV-19/NewZealand/20CV0487/2020,hCoV-19/NewZealand/20VR1803/2020,hCoV-19/NewZealand/20VR3477/2020,hCoV-19/NewZealand/20VR3128/2020,hCoV-19/NewZealand/20VR3476/2020,hCoV-19/NewZealand/21CV0234/2021,hCoV-19/NewZealand/21CV0235/2021,hCoV-19/NewZealand/21CV0207/2021,hCoV-19/NewZealand/21CV0209/2021,hCoV-19/NewZealand/21CV0208/2021,hCoV-19/NewZealand/21CV0210/2021,hCoV-19/NewZealand/21CV0221/2021,hCoV-19/NewZealand/21CV0231/2021,hCoV-19/NewZealand/21CV0225/2021
Yan Li et al	2	unknown	unknown	unknown	hCoV-19/Jamaica/JM-CDC-6365/2020,hCoV-19/USA/SC-CDC-9878-5137/2020
Kuenyoul Park et al	1	unknown	unknown	unknown	hCoV-19/SouthKorea/S4/2020
Zigui Chen et al	7	unknown	unknown	unknown	hCoV-19/HongKong/CUHK-NC9207/2020,hCoV-19/HongKong/CUHK-NC2263/2020,hCoV-19/HongKong/CUHK-NC9006/2020,hCoV-19/HongKong/CUHK-NC0601/2020,hCoV-19/HongKong/CUHK-NC9219/2020,hCoV-19/HongKong/CUHK-NC8576/2021,hCoV-19/HongKong/CUHK-NC2158/2020
Issa Abu-Dayyeh et al	15	unknown	unknown	unknown	hCoV-19/Jordan/SR-037/2020,hCoV-19/Jordan/SR-051/2020,hCoV-19/Jordan/SR-0336/2020,hCoV-19/Jordan/Biolab0118/2021,hCoV-19/Jordan/SEARCH-5486/2020,hCoV-19/Jordan/SEARCH-5484/2020,hCoV-19/Jordan/SEARCH-5437/2020,hCoV-19/Jordan/SR-033/2020,hCoV-19/Jordan/SR-055/2020,hCoV-19/Jordan/AM-ALSR-5802/2021,hCoV-19/Jordan/Biolab0129/2021,hCoV-19/Jordan/AM-ALSR-2586/2020,hCoV-19/Jordan/SR-032/2020,hCoV-19/Jordan/Biolab0123/2021,hCoV-19/Jordan/Biolab0208/2021
WCMQ: Ayeda A. Ahmed et al	9	unknown	unknown	unknown	hCoV-19/Qatar/QA-WCMQ_FD17059336/2020,hCoV-19/Qatar/QA-WCMQ_FD15506575/2020,hCoV-19/Qatar/QA-WCMQ_FD17571348/2020,hCoV-19/Qatar/QA-WCMQ_FD18272703/2020,hCoV-19/Qatar/QA-WCMQ_FD15506564/2020,hCoV-19/Qatar/QA-WCMQ_FD17462403/2020,hCoV-19/Qatar/QA-WCMQ_FD17462450/2020,hCoV-19/Qatar/QA-WCMQ_FD18163177/2020,hCoV-19/Qatar/QA-WCMQ_FD18163131/2020
BRC: Fatiha M. Benslimane et al	14	unknown	unknown	unknown	hCoV-19/Qatar/QA-QU_02-2-10/2020,hCoV-19/Qatar/QA-QU_02-3-58/2020,hCoV-19/Qatar/QA-QU_12-10-H8/2020,hCoV-19/Qatar/QA-QU_16-C12/2020,hCoV-19/Qatar/QA-QU_09-1-G1/2020,hCoV-19/Qatar/QA-QU_12-10-E3/2020,hCoV-19/Qatar/QA-QU_12-8-A7/2020,hCoV-19/Qatar/QA-QU_07-1-D6/2020,hCoV-19/Qatar/QA-QU_12-8-F12/2020,hCoV-19/Qatar/QA-QU_12-10-A2/2020,hCoV-19/Qatar/QA.QU.16.2.A9/2021,hCoV-19/Qatar/QA.QU.16.2.B6/2021,hCoV-19/Qatar/QA.QU.20.5.A11/2021,hCoV-19/Qatar/QA.QU.20.5.E6/2021
Fan et al	1	unknown	unknown	unknown	hCoV-19/Wuhan/IME-WH02/2019
Lukas Zemaitis et al	5	unknown	unknown	unknown	hCoV-19/Lithuania/MR-LUHS-Eilnr47/2020,hCoV-19/Lithuania/LTU000_NMRVI_90374/2021,hCoV-19/Lithuania/MR-LUHS-Eilnr479/2020,hCoV-19/Lithuania/MR-LUHS-Eilnr477/2020,hCoV-19/Lithuania/LTU000_VULSK_210720121310/2021
Jing Zhang et al	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	hCoV-19/USA/WI1/2020
Tsuyoshi Sekizuka et al A	2	A genome epidemiological study of SARS-CoV-2 introduction into Japan	unknown	https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1	hCoV-19/Japan/PG-0322/2020,hCoV-19/Japan/PG-0232/2020
Victor M Corman et al A	16	unknown	unknown	unknown	hCoV-19/Germany/NW-ChVir1683/2020,hCoV-19/Moldova/un-ChVir25719/2021,hCoV-19/Moldova/un-ChVir25725/2021,hCoV-19/Montenegro/ChVir-1265622002/2020,hCoV-19/Montenegro/ChVir-1268662002/2020,hCoV-19/Germany/BB-ChVir-W1129-7275/2020,hCoV-19/Moldova/ChVir7777/2020,hCoV-19/Albania/un-ChVir25862_03/2021,hCoV-19/Albania/un-ChVir25862_04/2021,hCoV-19/Kosovo/un-ChVir25887_16/2021,hCoV-19/Albania/un-ChVir25862_07/2021,hCoV-19/Moldova/un-ChVir25851/2021,hCoV-19/Moldova/un-ChVir25845/2021,hCoV-19/Moldova/un-ChVir25850/2021,hCoV-19/Moldova/un-ChVir25847/2021,hCoV-19/Albania/un-ChVir25862_11/2021
David Brandt et al	1	unknown	unknown	unknown	hCoV-19/Germany/NW-UBI-51/2020
Chen YYC et al	3	unknown	unknown	unknown	hCoV-19/Singapore/36nan/2020,hCoV-19/Singapore/1280/2020,hCoV-19/Singapore/547nan/2020
Yang Wei et al	1	unknown	unknown	unknown	hCoV-19/Lu-an/470/2020
Krisnoadi Rahardjo et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-136N/2020
Rosenthal et al	3	unknown	unknown	unknown	hCoV-19/USA/WV-QDX-1284/2020,hCoV-19/USA/GA-QDX-585/2020,hCoV-19/USA/KY-QDX-3309/2020
Adam Meijer et al	146	unknown	unknown	unknown	hCoV-19/Curacao/CW-RIVM-10092/2020,hCoV-19/Aruba/AW-RIVM-11554/2021,hCoV-19/Netherlands/ZH-RIVM-20892/2020,hCoV-19/Suriname/SR-RIVM-22455/2021,hCoV-19/Curacao/CW-RIVM-43150/2021,hCoV-19/Curacao/CW-RIVM-44533/2021,hCoV-19/Aruba/AW-RIVM-43064/2021,hCoV-19/Aruba/AW-RIVM-43057/2021,hCoV-19/Aruba/AW-RIVM-41531/2021,hCoV-19/Netherlands/NH-RIVM-16720/2021,hCoV-19/Curacao/CW-RIVM-44490/2021,hCoV-19/SintMaarten/SX-RIVM-49093/2021,hCoV-19/Aruba/AW-RIVM-30240/2021,hCoV-19/Aruba/AW-RIVM-16743/2021,hCoV-19/Aruba/AW-RIVM-22194/2021,hCoV-19/Bonaire/BQ-RIVM-35129/2021,hCoV-19/Bonaire/BQ-RIVM-22589/2021,hCoV-19/Curacao/CW-RIVM-15584/2021,hCoV-19/Bonaire/BQ-RIVM-25795/2021,hCoV-19/Curacao/CW-RIVM-18405/2021,hCoV-19/Bonaire/BQ-RIVM-42409/2021,hCoV-19/Bonaire/BQ-RIVM-42380/2021,hCoV-19/Bonaire/BQ-RIVM-42399/2021,hCoV-19/Bonaire/BQ-RIVM-42362/2021,hCoV-19/Curacao/CW-RIVM-25461/2021,hCoV-19/Netherlands/NB-RIVM-43785/2021,hCoV-19/Aruba/AW-RIVM-10390/2020,hCoV-19/Curacao/CW-RIVM-21709/2020,hCoV-19/Curacao/CW-RIVM-21721/2020,hCoV-19/Curacao/CW-RIVM-10366/2020,hCoV-19/Curacao/CW-RIVM-21713/2020,hCoV-19/Curacao/CW-RIVM-40796/2021,hCoV-19/Bonaire/BQ-RIVM-42398/2021,hCoV-19/Bonaire/BQ-RIVM-42355/2021,hCoV-19/Curacao/CW-RIVM-35071/2021,hCoV-19/Aruba/AW-RIVM-43094/2021,hCoV-19/Curacao/CW-RIVM-13016/2021,hCoV-19/Aruba/AW-RIVM-33478/2021,hCoV-19/Bonaire/BQ-RIVM-15632/2021,hCoV-19/Aruba/AW-RIVM-10326/2020,hCoV-19/Netherlands/NH-RIVM-42457/2021,hCoV-19/Aruba/AW-RIVM-46298/2021,hCoV-19/Aruba/AW-RIVM-49052/2021,hCoV-19/Curacao/CW-RIVM-43170/2021,hCoV-19/Netherlands/OV-RIVM-47416/2021,hCoV-19/Curacao/CW-RIVM-63861/2021,hCoV-19/Curacao/CW-RIVM-43099/2021,hCoV-19/Aruba/AW-RIVM-46305/2021,hCoV-19/Bonaire/BQ-RIVM-49083/2021,hCoV-19/Curacao/CW-RIVM-44491/2021,hCoV-19/Curacao/CW-RIVM-46573/2021,hCoV-19/Aruba/AW-RIVM-63985/2021,hCoV-19/Netherlands/ZH-RIVM-50781/2021,hCoV-19/Aruba/AW-RIVM-61873/2021,hCoV-19/Bonaire/BQ-RIVM-49125/2021,hCoV-19/Bonaire/BQ-RIVM-50316/2021,hCoV-19/Bonaire/BQ-RIVM-46612/2021,hCoV-19/Bonaire/BQ-RIVM-46647/2021,hCoV-19/Curacao/CW-RIVM-60526/2021,hCoV-19/SintMaarten/SX-RIVM-65025/2021,hCoV-19/SintMaarten/SX-RIVM-56389/2021,hCoV-19/Aruba/AW-RIVM-46282/2021,hCoV-19/Curacao/CW-RIVM-48298/2021,hCoV-19/Netherlands/NB-RIVM-60082/2021,hCoV-19/Curacao/CW-RIVM-56730/2021,hCoV-19/Bonaire/BQ-RIVM-53890/2021,hCoV-19/Curacao/CW-RIVM-58241/2021,hCoV-19/Curacao/CW-RIVM-53837/2021,hCoV-19/Curacao/CW-RIVM-61692/2021,hCoV-19/Netherlands/LI-RIVM-48443/2021,hCoV-19/Curacao/CW-RIVM-63836/2021,hCoV-19/Curacao/CW-RIVM-48217/2021,hCoV-19/Bonaire/BQ-RIVM-56833/2021,hCoV-19/Bonaire/BQ-RIVM-60385/2021,hCoV-19/Bonaire/BQ-RIVM-63910/2021,hCoV-19/Curacao/CW-RIVM-60537/2021,hCoV-19/Curacao/CW-RIVM-63853/2021,hCoV-19/Curacao/CW-RIVM-63860/2021,hCoV-19/Curacao/CW-RIVM-63858/2021,hCoV-19/Bonaire/BQ-RIVM-63955/2021,hCoV-19/Bonaire/BQ-RIVM-63945/2021,hCoV-19/Curacao/CW-RIVM-63851/2021,hCoV-19/Curacao/CW-RIVM-55576/2021,hCoV-19/Bonaire/BQ-RIVM-59039/2021,hCoV-19/Bonaire/BQ-RIVM-59016/2021,hCoV-19/Curacao/CW-RIVM-48274/2021,hCoV-19/Bonaire/BQ-RIVM-50292/2021,hCoV-19/Netherlands/GL-RIVM-57032/2021,hCoV-19/Aruba/AW-RIVM-50418/2021,hCoV-19/Aruba/AW-RIVM-63941/2021,hCoV-19/Aruba/AW-RIVM-55208/2021,hCoV-19/Aruba/AW-RIVM-43082/2021,hCoV-19/Netherlands/ZH-RIVM-42280/2021,hCoV-19/Aruba/AW-RIVM-58323/2021,hCoV-19/Curacao/CW-RIVM-63854/2021,hCoV-19/Curacao/CW-RIVM-44524/2021,hCoV-19/Curacao/CW-RIVM-44542/2021,hCoV-19/Curacao/CW-RIVM-44532/2021,hCoV-19/Aruba/AW-RIVM-63963/2021,hCoV-19/SintMaarten/SX-RIVM-62187/2021,hCoV-19/Aruba/AW-RIVM-53931/2021,hCoV-19/Bonaire/BQ-RIVM-53845/2021,hCoV-19/Bonaire/BQ-RIVM-51753/2021,hCoV-19/Aruba/AW-RIVM-63911/2021,hCoV-19/Aruba/AW-RIVM-63940/2021,hCoV-19/Aruba/AW-RIVM-64002/2021,hCoV-19/Aruba/AW-RIVM-61878/2021,hCoV-19/Aruba/AW-RIVM-58349/2021,hCoV-19/Aruba/AW-RIVM-56736/2021,hCoV-19/Aruba/AW-RIVM-63939/2021,hCoV-19/Netherlands/ZH-RIVM-57041/2021,hCoV-19/Bonaire/BQ-RIVM-50280/2021,hCoV-19/Netherlands/FR-RIVM-64692/2021,hCoV-19/Netherlands/NB-RIVM-63753/2021,hCoV-19/Netherlands/NB-RIVM-60067/2021,hCoV-19/Aruba/AW-RIVM-63928/2021,hCoV-19/Netherlands/NH-RIVM-59237/2021,hCoV-19/Netherlands/NH-RIVM-64523/2021,hCoV-19/Aruba/AW-RIVM-46294/2021,hCoV-19/Curacao/CW-RIVM-56682/2021,hCoV-19/Curacao/CW-RIVM-63026/2021,hCoV-19/Curacao/CW-RIVM-55544/2021,hCoV-19/Bonaire/BQ-RIVM-53833/2021,hCoV-19/Curacao/CW-RIVM-58273/2021,hCoV-19/Curacao/CW-RIVM-60539/2021,hCoV-19/Curacao/CW-RIVM-63852/2021,hCoV-19/Bonaire/BQ-RIVM-53811/2021,hCoV-19/Bonaire/BQ-RIVM-53844/2021,hCoV-19/Bonaire/BQ-RIVM-62900/2021,hCoV-19/Bonaire/BQ-RIVM-61672/2021,hCoV-19/Bonaire/BQ-RIVM-59031/2021,hCoV-19/Bonaire/BQ-RIVM-59079/2021,hCoV-19/Bonaire/BQ-RIVM-63956/2021,hCoV-19/Bonaire/BQ-RIVM-63979/2021,hCoV-19/Bonaire/BQ-RIVM-63920/2021,hCoV-19/Bonaire/BQ-RIVM-63978/2021,hCoV-19/Aruba/AW-RIVM-63961/2021,hCoV-19/Curacao/CW-RIVM-61691/2021,hCoV-19/Curacao/CW-RIVM-48264/2021,hCoV-19/Netherlands/UT-RIVM-49552/2021,hCoV-19/Aruba/AW-RIVM-58406/2021,hCoV-19/Aruba/AW-RIVM-50431/2021,hCoV-19/Aruba/AW-RIVM-56792/2021,hCoV-19/Aruba/AW-RIVM-58365/2021,hCoV-19/Aruba/AW-RIVM-54085/2021,hCoV-19/Aruba/AW-RIVM-51642/2021
M.E. Quiñones-Mateu et al	1	unknown	unknown	unknown	hCoV-19/NewZealand/CoV001/2020
Sandrine Moreira et al	9	unknown	unknown	unknown	hCoV-19/Canada/Qc-LSPQ-L00210314/2020,hCoV-19/Canada/QC-HGA-T31420632D/2020,hCoV-19/Canada/QC-DYN-0621713/2020,hCoV-19/Canada/Qc-L00298829/2020,hCoV-19/Canada/QC-L00363333001/2021,hCoV-19/Canada/QC-1nDJXW-498804751/2021,hCoV-19/Canada/Qc-HPB-T93022919Q/2020,hCoV-19/Canada/QC-L00374585001/2021,hCoV-19/Canada/QC-L00371208001/2021
Murtskhvaladze et al	1	unknown	unknown	unknown	hCoV-19/Georgia/MM001523/2020
Matt Storey et al B	1	An emergent clade of SARS-CoV-2 linked to returned travellers from Iran	unknown	https://dx.doi.org/10.1101/2020.03.15.992818	hCoV-19/NewZealand/20VR0174/2020
Zohreh Fattahi et al	6	unknown	unknown	unknown	hCoV-19/Iran/GRC-4488/2020,hCoV-19/Iran/GRC-22/2020,hCoV-19/Iran/GRC-T9258/2020,hCoV-19/Iran/T11881/2021,hCoV-19/Iran/GRC-7773/2020,hCoV-19/Iran/GRC-T9129/2020
Rita Feghali et al	1	unknown	unknown	unknown	hCoV-19/Lebanon/S5_762/2020
Githinji G. et al 2020 et al	1	Introduction and local transmission of SARS-CoV-2 cases in Kenya	unknown	https://virological.org/t/introduction-and-local-transmission-of-sars-cov-2-cases-in-kenya/497	hCoV-19/Kenya/S052/2020
Jalees A. Nasir et al	1	unknown	unknown	unknown	hCoV-19/Canada/ON_SHSC-01/2020
Samira Al-Maruqi et al	2	unknown	unknown	unknown	hCoV-19/Oman/RESP-20-797/2020,hCoV-19/Oman/7096992/2020
Chisha Sikazwe et al	2	unknown	unknown	unknown	hCoV-19/Australia/WA11/2020,hCoV-19/Australia/WA34/2020
David Perera et al	1	unknown	unknown	unknown	hCoV-19/Malaysia/UNIMAS-14960/2020
Mak Tze Minn et al	2	unknown	unknown	unknown	hCoV-19/Brunei/5/2020,hCoV-19/Brunei/2/2020
Rockett R et al	1	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	hCoV-19/Australia/NSW44/2020
Inez Andrea Medado et al	2	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0104/2020,hCoV-19/Philippines/PH-RITM-0106/2020
Suppiah J et al	7	unknown	unknown	unknown	hCoV-19/Malaysia/IMR_WC80031/2020,hCoV-19/Malaysia/IMR_WC329964/2020,hCoV-19/Malaysia/IMR-WC281546/2020,hCoV-19/Malaysia/IMR_WC179147/2021,hCoV-19/Malaysia/IMR_CV02543/2021,hCoV-19/Malaysia/IMR_WC443311/2021,hCoV-19/Malaysia/IMR_CV00716/2021
Francis A. Tablizo et al	8	unknown	unknown	unknown	hCoV-19/Philippines/PH-PGC-07656/2021,hCoV-19/Philippines/PH-PGC-05676/2021,hCoV-19/Philippines/PH-PGC-05830/2021,hCoV-19/Philippines/PH-PGC-05778/2020,hCoV-19/Philippines/PH-PGC-01471/2020,hCoV-19/Philippines/PH-PGC-05533/2021,hCoV-19/Philippines/PH-PGC-07783/2021,hCoV-19/Philippines/PH-PGC-44861/2021
Lei Lanna Dancel et al	2	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0065/2020,hCoV-19/Philippines/PH-RITM-0058/2020
Soares da Silva et al	10	unknown	unknown	unknown	hCoV-19/Timor-Leste/TL17/2020,hCoV-19/Timor-Leste/TL510/2021,hCoV-19/Timor-Leste/TL667/2021,hCoV-19/Timor-Leste/TL837/2021,hCoV-19/Timor-Leste/TL488/2021,hCoV-19/Timor-Leste/TL94/2021,hCoV-19/Timor-Leste/TL661/2021,hCoV-19/Timor-Leste/TL991/2021,hCoV-19/Timor-Leste/TL1026/2021,hCoV-19/Timor-Leste/TL961/2021
Myat Htut Nyunt et al	1	unknown	unknown	unknown	hCoV-19/Myanmar/MMC_137/2020
Mulenga Mwenda-Chimfwembe et al	22	unknown	unknown	unknown	hCoV-19/Zambia/ZMB-403/2020,hCoV-19/Zambia/ZMB-25267/2020,hCoV-19/Zambia/ZMB-29647/2020,hCoV-19/Zambia/ZMB-33372/2020,hCoV-19/Zambia/ZMB-30696/2020,hCoV-19/Zambia/ZMB-69571/2020,hCoV-19/Zambia/ZMB-107638/2021,hCoV-19/Zambia/ZMB-110382/2021,hCoV-19/Zambia/ZMB-116107/2021,hCoV-19/Zambia/ZMB-107172/2021,hCoV-19/Zambia/ZMB-110123/2021,hCoV-19/Zambia/ZMB-108442/2021,hCoV-19/Zambia/ZMB-119074/2021,hCoV-19/Zambia/ZMB-119149/2021,hCoV-19/Zambia/ZMB-119161/2021,hCoV-19/Zambia/ZMB-108443/2021,hCoV-19/Zambia/ZMB-119155/2021,hCoV-19/Zambia/ZMB-119114/2021,hCoV-19/Zambia/ZMB-119193/2021,hCoV-19/Zambia/ZMB-119160/2021,hCoV-19/Zambia/ZMB-115014/2021,hCoV-19/Zambia/ZMB-114793/2021
Caly L. et al B	11	unknown	unknown	unknown	hCoV-19/Australia/VIC1088/2020,hCoV-19/Australia/VIC3115/2020,hCoV-19/Australia/VIC18461/2021,hCoV-19/Australia/VIC18875/2021,hCoV-19/Australia/VIC18354/2021,hCoV-19/Australia/VIC18086/2020,hCoV-19/Australia/VIC834/2020,hCoV-19/Australia/VIC18863/2021,hCoV-19/Australia/VIC18858/2021,hCoV-19/Australia/VIC18883/2021,hCoV-19/Australia/VIC18919/2021
Tze Minn Mak et al	20	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/9/2020,hCoV-19/PapuaNewGuinea/13/2021,hCoV-19/PapuaNewGuinea/49/2020,hCoV-19/PapuaNewGuinea/53/2020,hCoV-19/Singapore/1092/2020,hCoV-19/Singapore/1067/2020,hCoV-19/Singapore/118/2021,hCoV-19/Singapore/1103/2020,hCoV-19/Singapore/1417/2020,hCoV-19/Singapore/1503/2020,hCoV-19/Singapore/1924/2021,hCoV-19/Singapore/1443/2021,hCoV-19/Singapore/1451/2021,hCoV-19/Singapore/1476/2021,hCoV-19/Singapore/1696/2021,hCoV-19/Singapore/1707/2021,hCoV-19/Singapore/1726/2021,hCoV-19/Singapore/1603/2021,hCoV-19/Singapore/2051/2021,hCoV-19/Singapore/3172/2021
Baowen Du et al	1	unknown	unknown	unknown	hCoV-19/Wuhan/HB-WH3-191/2020
Monica Galiano et al	1	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	hCoV-19/England/02/2020
Amirtharaj Francis et al	2	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/skmc-920168117/2020,hCoV-19/UnitedArabEmirates/skmc-3891025/2020
Lex Leong et al	16	unknown	unknown	unknown	hCoV-19/Australia/SA0168/2020,hCoV-19/Australia/SA0360/2020,hCoV-19/Australia/SA0214/2020,hCoV-19/Australia/SA0443/2020,hCoV-19/Australia/SA0472/2020,hCoV-19/Australia/SA0477/2020,hCoV-19/Australia/SA0624/2021,hCoV-19/Australia/SA0675/2021,hCoV-19/Australia/SA0647/2021,hCoV-19/Australia/SA0500/2020,hCoV-19/Australia/SA0027/2020,hCoV-19/Australia/SA0562/2020,hCoV-19/Australia/SA0483/2020,hCoV-19/Australia/SA0488/2020,hCoV-19/Australia/SA0203/2020,hCoV-19/Australia/SA0212/2020
Jeong-Min Kim et al A	2	unknown	unknown	unknown	hCoV-19/SouthKorea/KCDC07/2020,hCoV-19/SouthKorea/KCDC2242/2020
Jeong-Min Kim et al B	1	Identification of Coronavirus Isolated from a Patient in Korea with COVID-19	unknown	unknown	hCoV-19/SouthKorea/KCDC03/2020
Li et al	1	unknown	unknown	unknown	hCoV-19/Cambodia/Kunming_kms-2/2020
Elizabeth Batty et al	6	unknown	unknown	unknown	hCoV-19/Thailand/Bangkok-CONI-0308/2020,hCoV-19/Thailand/PathumThani-CONI-0544/2021,hCoV-19/Thailand/PathumThani-CONI-0545/2021,hCoV-19/Thailand/Bangkok-CONI-1073/2021,hCoV-19/Thailand/PathumThani-CONI-0918/2021,hCoV-19/Thailand/Bangkok-CONI-1011/2021
